iteracion,subset,f1_score
31,"['age_of_domain', 'Redirect', 'URL_of_Anchor', 'Links_pointing_to_page', 'Request_URL']",0.8516634050880626
482,"['Links_pointing_to_page', 'HTTPS_token', 'Statistical_report', 'having_IP_Address', 'URL_of_Anchor']",0.8516605166051661
387,"['DNSRecord', 'URL_of_Anchor', 'Google_Index', 'Statistical_report', 'age_of_domain']",0.8498452012383901
128,"['port', 'URL_of_Anchor', 'on_mouseover', 'Submitting_to_email', 'having_At_Symbol']",0.8477611940298507
370,"['URL_Length', 'SFH', 'Google_Index', 'Request_URL', 'URL_of_Anchor']",0.8476499189627229
75,"['Statistical_report', 'web_traffic', 'Links_in_tags', 'Favicon', 'URL_of_Anchor']",0.8446638815039879
166,"['Iframe', 'double_slash_redirecting', 'having_Sub_Domain', 'Shortining_Service', 'URL_of_Anchor']",0.8409001184366364
127,"['on_mouseover', 'URL_of_Anchor', 'HTTPS_token', 'age_of_domain', 'web_traffic']",0.8395437262357415
6,"['having_Sub_Domain', 'Iframe', 'RightClick', 'Abnormal_URL', 'URL_of_Anchor']",0.8392715756136183
116,"['Statistical_report', 'URL_of_Anchor', 'web_traffic', 'popUpWidnow', 'Google_Index']",0.8312
340,"['port', 'Statistical_report', 'on_mouseover', 'SSLfinal_State', 'RightClick']",0.8266360505166476
288,"['URL_of_Anchor', 'URL_Length', 'port', 'age_of_domain', 'SFH']",0.8245828245828246
439,"['Request_URL', 'Links_in_tags', 'Redirect', 'Abnormal_URL', 'web_traffic']",0.7620920173023987
500,"['Submitting_to_email', 'web_traffic', 'Abnormal_URL', 'having_IP_Address', 'Request_URL']",0.74364896073903
325,"['web_traffic', 'Links_in_tags', 'URL_Length', 'Redirect', 'HTTPS_token']",0.739080015461925
12,"['Domain_registeration_length', 'web_traffic', 'URL_Length', 'age_of_domain', 'Links_in_tags']",0.7365129007036747
311,"['web_traffic', 'Links_in_tags', 'Links_pointing_to_page', 'Favicon', 'popUpWidnow']",0.7362845251608021
359,"['web_traffic', 'Links_pointing_to_page', 'on_mouseover', 'having_IP_Address', 'Domain_registeration_length']",0.7352048558421851
441,"['web_traffic', 'Redirect', 'RightClick', 'having_Sub_Domain', 'port']",0.7345864661654136
360,"['Google_Index', 'double_slash_redirecting', 'Abnormal_URL', 'Domain_registeration_length', 'web_traffic']",0.7344163203626747
356,"['web_traffic', 'Redirect', 'having_Sub_Domain', 'Shortining_Service', 'Page_Rank']",0.7343113284433578
175,"['Request_URL', 'port', 'popUpWidnow', 'web_traffic', 'age_of_domain']",0.7336914811972371
289,"['Iframe', 'Statistical_report', 'web_traffic', 'Request_URL', 'popUpWidnow']",0.7332567929582855
69,"['Statistical_report', 'Shortining_Service', 'Links_in_tags', 'web_traffic', 'Google_Index']",0.7331515387611999
472,"['web_traffic', 'SFH', 'Links_pointing_to_page', 'Page_Rank', 'having_Sub_Domain']",0.7319289549772822
232,"['popUpWidnow', 'URL_Length', 'double_slash_redirecting', 'web_traffic', 'Redirect']",0.7317460317460317
